Disease Name,Common Symptoms,Patient Reported Symptoms,Additional Symptoms,Severity,Possible Causes
Anosmia,"Complete loss of smell, dry nasal passages","No scent detection, sensation of nasal dryness","Loss of appetite, headaches",Severe,Head trauma
Anosmia,"Temporary smell loss, nasal swelling","Reduced smell sensitivity, nasal inflammation","Sinus congestion, sneezing",Moderate,Allergic reactions
Anosmia,"Reduced smell perception, respiratory discomfort","Weaker smell recognition, trouble breathing through nose","Dry throat, taste impairment",Severe,Neurological disorders
Aphonia,"Complete voice loss, dry throat","Inability to speak, throat irritation","Cough, vocal cord strain",Moderate,Laryngeal nerve damage
Aphonia,"Hoarseness, voice fatigue","Weak voice, throat discomfort","Mild throat pain, dry cough",Mild,Overuse of vocal cords
Aphonia,"Sudden voice loss, sore throat","Abrupt inability to talk, throat irritation","Cough, vocal strain",Severe,Vocal cord paralysis
Aphonia,"Whispered speech, chronic throat pain","Weak voice output, throat discomfort","Difficulty swallowing, ear pain",Moderate,Neurological conditions
Aphonia,"Voice strain, speaking difficulties","Effortful speech, throat tightness","Hoarseness, chest discomfort",Mild,Laryngitis
Barotrauma,"Ear pain, hearing changes","Ear discomfort, muffled hearing","Dizziness, nasal congestion",Moderate,"Air pressure changes (e.g., flying)"
Barotrauma,"Ear fullness, mild discomfort","Pressure sensation in ears, minor ear pain","Nasal congestion, mild headaches",Mild,Deep-sea diving
Barotrauma,"Ear popping, eardrum pain","Pressure imbalance, sudden earache","Dizziness, hearing loss",Severe,Rapid altitude shifts
Barotrauma,"Tinnitus, ear pressure","Buzzing sounds, sensation of clogged ears","Muffled hearing, headaches",Moderate,Exposure to loud sounds
Barotrauma,"Vertigo, sinus discomfort","Spinning sensation, nasal pain","Ear blockage, nausea",Mild,Sinus infections
BPPV,"Sudden dizziness, nausea","Intense spinning sensation, feeling unsteady","Vomiting, headache",Moderate,Calcium crystals in inner ear
BPPV,Vertigo when moving head,Lightheadedness when turning head,"Mild imbalance, ear pressure",Mild,Head trauma
BPPV,"Short episodes of vertigo, motion sensitivity",Feeling dizzy when changing positions,"Nausea, blurred vision",Severe,Inner ear infections
BPPV,"Unsteady gait, dizziness","Trouble maintaining balance, spinning sensation","Nausea, rapid eye movement",Moderate,Aging-related degeneration
BPPV,"Sudden vertigo, feeling of falling","Brief but intense dizziness, sensation of falling","Sweating, ear fullness",Severe,Inner ear dysfunction
Branchial Cleft Cyst,"Neck lump, painless swelling","Soft mass on neck, mild discomfort","Tenderness, difficulty swallowing",Moderate,Congenital abnormality
Branchial Cleft Cyst,"Neck mass, fluid drainage",Swelling with occasional fluid leakage,"Redness, pain upon touch",Mild,Developmental defect
Branchial Cleft Cyst,"Recurring infections, swollen neck",Neck swelling with periodic infections,"Fever, pus drainage",Severe,Untreated cyst infection
Branchial Cleft Cyst,"Difficulty moving neck, pain","Neck stiffness, discomfort","Difficulty swallowing, voice changes",Moderate,Genetic malformation
Branchial Cleft Cyst,"Skin irritation, swollen lymph nodes","Neck rash, mild lymph node swelling","Tenderness, discharge",Mild,Bacterial infection
Rhinitis,"Runny nose, sneezing","Frequent sneezing, nasal discharge","Watery eyes, nasal congestion",Mild,Allergens like pollen or dust
Rhinitis,"Postnasal drip, nasal congestion","Mucus buildup in throat, difficulty breathing","Headache, mild fever",Moderate,Viral infections
Hoarseness,"Raspy voice, throat irritation","Changes in voice, scratchy throat","Dry cough, difficulty speaking",Mild,Vocal cord strain
Hoarseness,"Weak voice, vocal fatigue","Loss of voice strength, throat discomfort","Difficulty swallowing, sore throat",Moderate,Laryngitis
Septal Hematoma,"Nasal congestion, nose swelling","Blocked nasal passages, visible swelling","Facial pressure, fever",Moderate,Nasal trauma
Septal Hematoma,"Nosebleeds, nasal pain","Frequent bleeding, tenderness in nose","Bruising, headaches",Severe,Untreated nasal injury
Foreign Bodies in Ear/Nose/Throat,"Ear pain, muffled hearing","Discomfort in ear, trouble hearing","Dizziness, ear drainage",Moderate,Small objects lodged in ear canal
Foreign Bodies in Ear/Nose/Throat,"Nasal obstruction, breathing difficulty","Blocked nose, difficulty inhaling","Foul smell, nasal discharge",Severe,Objects stuck in nasal cavity
Tracheomalacia,"Noisy breathing, weak cry","High-pitched sounds while breathing, weak voice","Difficulty feeding, cyanosis",Severe,Congenital birth defect
Tracheomalacia,"Breathing difficulties, recurrent infections","Labored breathing, frequent respiratory infections","Choking episodes, poor weight gain",Moderate,Weak tracheal cartilage
Eustachian Tube Dysfunction,"Ear fullness, muffled sounds","Sensation of blocked ears, difficulty hearing","Tinnitus, dizziness",Mild,Frequent sinus infections
Eustachian Tube Dysfunction,"Popping sensation, hearing fluctuations",Crackling or popping sounds in ears,"Ear pain, balance issues",Moderate,Air pressure changes
Ludwig's Angina,"Swollen neck, breathing difficulty","Painful swelling under jaw, trouble breathing","Fever, drooling",Severe,Dental infections
Ludwig's Angina,"Muffled voice, facial swelling","Hoarse speech, swelling in face","Neck pain, high fever",Moderate,Untreated dental abscess
Presbycusis,"Gradual hearing loss, trouble in noisy environments","Difficulty understanding speech, sensitivity to background noise","Tinnitus, balance problems",Moderate,Aging-related degeneration
Presbycusis,Difficulty hearing high-pitched sounds,"Reduced ability to hear birds, alarms","Ear ringing, mild vertigo",Mild,Genetic predisposition
Voice Disorders,"Rough voice, pitch instability",Difficulty maintaining tone while speaking,"Throat irritation, hoarseness",Moderate,Vocal cord overuse
Voice Disorders,"Whispery speech, vocal fatigue","Soft or weak voice, struggling to talk","Frequent throat clearing, dry mouth",Mild,Neurological disorders
Meniere's Disease,"Vertigo, hearing loss","Sudden dizzy spells, fluctuating hearing","Tinnitus, ear fullness",Severe,Inner ear fluid imbalance
Meniere's Disease,"Nausea, balance problems","Episodes of nausea, unsteady walking","Anxiety, sensitivity to sound",Moderate,Autoimmune disorders
Oropharyngeal Cancer,"Persistent sore throat, voice changes","Long-term throat pain, hoarse voice","Ear pain, difficulty swallowing",Severe,"HPV, smoking"
Oropharyngeal Cancer,"Lump in throat, unexplained weight loss","Feeling of something stuck in throat, appetite loss","Coughing up blood, fatigue",Severe,Heavy alcohol use
Thyroid Disorders,"Fatigue, weight changes","Extreme tiredness, unexpected weight loss or gain","Swelling in neck, mood swings",Moderate,Hormonal imbalance
Thyroid Disorders,"Cold intolerance, hair thinning","Feeling unusually cold, hair loss","Hoarseness, dry skin",Mild,Autoimmune diseases
Facial Nerve Paralysis (Bell's Palsy),"Facial drooping, inability to close one eye",Weakness on one side of face,"Loss of taste, ear pain",Moderate,"Viral infections (e.g., HSV)"
Facial Nerve Paralysis (Bell's Palsy),"Slurred speech, difficulty blinking",Reduced ability to move facial muscles,"Tearing, hypersensitivity to sound",Severe,Inflammation of facial nerve
Superior Canal Dehiscence Syndrome (SCDS),"Hearing sensitivity, dizziness","Amplified internal sounds, imbalance","Headaches, vision issues",Moderate,Thin bone over ear canal
Superior Canal Dehiscence Syndrome (SCDS),"Tinnitus, vertigo","Buzzing in ears, spinning sensation","Fullness in ears, motion sickness",Severe,Inner ear defects
Gastroesophageal Reflux Disease (GERD),"Heartburn, acid regurgitation","Burning sensation in chest, sour taste in mouth","Chronic cough, sore throat",Moderate,Weak lower esophageal sphincter
Gastroesophageal Reflux Disease (GERD),"Nighttime reflux, difficulty swallowing","Worsening symptoms at night, food sticking","Hoarseness, dental erosion",Severe,"Obesity, smoking"
Swallowing Disorders (Dysphagia),"Difficulty swallowing, choking","Feeling of food getting stuck, coughing while eating","Weight loss, throat pain",Moderate,Neurological conditions
Swallowing Disorders (Dysphagia),"Painful swallowing, reflux","Burning sensation while swallowing, regurgitation","Hoarseness, chest discomfort",Severe,"GERD, esophageal strictures"
Sleep Apnea,"Snoring, daytime sleepiness","Loud snoring, feeling tired during day","Morning headaches, dry mouth",Moderate,"Obesity, airway obstruction"
Sleep Apnea,"Breathing pauses, restless sleep","Interrupted breathing at night, frequent awakenings","Memory problems, irritability",Severe,Neuromuscular conditions
CSF Leak,"Persistent headache, clear nasal drainage","Constant head pain, fluid leaking from nose","Neck stiffness, nausea",Severe,Head trauma
CSF Leak,"Runny nose, dizziness","Watery nasal discharge, feeling lightheaded","Vision changes, ear fullness",Moderate,Sinus surgery complication
CSF Leak,"Metallic taste, chronic headaches","Unusual taste in mouth, ongoing head pain","Hearing loss, nausea",Severe,Spinal fluid abnormality
CSF Leak,"Neck pain, vision problems","Stiff neck, blurry vision","Frequent headaches, balance issues",Moderate,Increased intracranial pressure
CSF Leak,"Ear drainage, nausea","Fluid leaking from ear, upset stomach","Light sensitivity, fatigue",Severe,Surgical side effects
Chronic Cough,"Persistent dry cough, throat irritation","Cough lasting over 8 weeks, scratchy throat","Postnasal drip, hoarseness",Mild,Allergic rhinitis
Chronic Cough,"Cough with mucus, chest tightness","Frequent coughing with phlegm, chest discomfort","Wheezing, shortness of breath",Moderate,Asthma
Chronic Cough,"Nighttime cough, acid reflux","Cough worsening at night, burning sensation in throat","Hoarseness, bad breath",Severe,Gastroesophageal reflux disease (GERD)
Otosclerosis,"Gradual hearing loss, tinnitus","Progressive hearing difficulty, ringing in ears","Balance issues, dizziness",Moderate,Genetic factors
Otosclerosis,Difficulty hearing low-pitched sounds,Trouble distinguishing lower frequency noises,"Mild ear pain, ear fullness",Mild,Bone overgrowth in middle ear
Tracheitis,"Cough, difficulty breathing","Persistent dry cough, shortness of breath","Fever, hoarseness",Moderate,Bacterial infection
Tracheitis,"Stridor, chest pain","Noisy breathing, pain in chest while inhaling","Mucus buildup, fatigue",Severe,Complication of respiratory infection
Turbinates Hypertrophy,"Nasal congestion, breathing issues","Chronic blocked nose, difficulty inhaling","Postnasal drip, headaches",Moderate,"Allergies, chronic inflammation"
Turbinates Hypertrophy,"Snoring, dry mouth","Loud snoring at night, waking up with dry mouth","Sleep apnea, nasal dryness",Mild,Environmental irritants
Nasal Fracture,"Nose pain, swelling","Bruising around nose, facial pain","Difficulty breathing, nosebleed",Moderate,"Trauma, sports injuries"
Nasal Fracture,"Crooked nose, tenderness","Visible deformity, tenderness to touch","Blocked nasal passages, headache",Severe,"Accidents, fights"
Zenker's Diverticulum,"Difficulty swallowing, regurgitation","Food getting stuck in throat, bringing food back up","Coughing, bad breath",Severe,Weak pharyngeal muscles
Zenker's Diverticulum,"Hoarseness, weight loss","Voice changes, unexplained weight reduction","Chest pain, aspiration pneumonia",Moderate,Esophageal outpouching
Dysphonia,"Hoarseness, voice fatigue","Weak or breathy voice, strain while speaking","Throat irritation, dry cough",Moderate,Vocal cord nodules
Dysphonia,"Loss of voice, vocal strain",Complete or partial loss of voice,"Chronic throat clearing, discomfort",Severe,Laryngeal nerve paralysis
Subglottic Stenosis,"Noisy breathing, voice changes","Wheezing sounds, difficulty speaking","Frequent respiratory infections, shortness of breath",Moderate,Congenital abnormality
Subglottic Stenosis,"Chronic cough, airway obstruction","Persistent coughing, difficulty inhaling","Recurrent pneumonia, fatigue",Severe,Scar tissue formation
Uvulitis,"Swollen uvula, throat irritation","Enlarged uvula, scratchy throat","Fever, difficulty swallowing",Moderate,Bacterial or viral infections
Uvulitis,"Red throat, gagging sensation","Throat redness, feeling of something stuck","Coughing, voice changes",Mild,Allergic reactions
Vocal Cord Nodules and Polyps,"Hoarseness, throat pain","Rough or strained voice, discomfort while speaking","Dry cough, voice fatigue",Moderate,Excessive vocal strain
Vocal Cord Nodules and Polyps,"Breathy voice, pitch breaks","Difficulty controlling pitch, whispery voice","Throat irritation, swallowing issues",Severe,Overuse of vocal cords
Wegener's Granulomatosis,"Sinus congestion, cough","Chronic nasal inflammation, dry cough","Joint pain, skin ulcers",Severe,Autoimmune vasculitis
Wegener's Granulomatosis,"Nosebleeds, ear infections","Frequent nasal bleeding, recurring ear pain","Fever, fatigue",Moderate,Inflammation of small blood vessels
Throat Cancer,"Persistent sore throat, voice changes","Ongoing throat pain, hoarseness","Difficulty swallowing, ear pain",Severe,"Smoking, HPV infection"
Throat Cancer,"Lump in throat, unexplained weight loss","Feeling of obstruction in throat, loss of appetite","Coughing up blood, fatigue",Severe,"Alcohol use, genetic factors"
Usher Syndrome,"Hearing loss, vision problems","Progressive hearing impairment, night blindness","Balance difficulties, dizziness",Severe,Genetic mutation
Usher Syndrome,"Tinnitus, tunnel vision","Constant ringing in ears, narrowing of visual field","Frequent falls, difficulty walking in dim light",Moderate,Inherited disorder
Vocal Cord Dysfunction,"Shortness of breath, noisy breathing","Difficulty inhaling, wheezing","Coughing, throat tightness",Moderate,"Stress, irritants"
Vocal Cord Dysfunction,"Voice changes, throat clearing","Frequent hoarseness, feeling of throat closing","Fatigue, dizziness",Severe,Respiratory triggers
Conductive Hearing Loss,"Muffled hearing, ear fullness","Difficulty hearing clearly, sensation of plugged ears","Dizziness, ear ringing",Moderate,Fluid buildup in middle ear
Conductive Hearing Loss,"Hearing loss after infection, ear pressure","Decreased hearing post-ear infection, sensation of pressure","Mild pain, balance issues",Mild,Chronic ear infections
Conductive Hearing Loss,"Earwax blockage, reduced sound perception","Loss of hearing clarity, earwax buildup","Tinnitus, mild discomfort",Mild,Excessive earwax
Barrett's Esophagus,"Heartburn, acid reflux","Burning sensation in chest, regurgitation of food","Chronic cough, difficulty swallowing",Moderate,GERD (Gastroesophageal Reflux Disease)
Barrett's Esophagus,"Sore throat, hoarseness","Persistent throat discomfort, voice changes","Chest pain, nausea",Severe,Chronic acid exposure
Parotitis,"Swollen salivary glands, dry mouth","Painful swelling near jaw, reduced saliva","Fever, trouble eating",Moderate,"Viral infections (e.g., mumps)"
Parotitis,"Facial pain, pus drainage","Pain in cheek area, yellowish discharge","Bad taste, sore throat",Severe,Bacterial infection
Hearing Loss,"Difficulty hearing, muffled speech",Trouble understanding conversations,"Tinnitus, dizziness",Moderate,"Aging, noise exposure"
Hearing Loss,"Sudden hearing loss, ear pain","Abrupt loss of hearing, discomfort","Ear fullness, ringing",Severe,Viral infections
Epiglottitis,"Severe sore throat, difficulty breathing","Painful swallowing, shortness of breath","Fever, drooling",Severe,"Bacterial infection (e.g., Hib)"
Epiglottitis,"Muffled voice, high fever","Hoarse voice, rapid breathing","Neck swelling, inability to swallow",Severe,Upper respiratory infections
Epistaxis (Nosebleed),"Nasal bleeding, dry nose","Frequent nosebleeds, dry nasal passages","Dizziness, headaches",Mild,"Dry climate, nose picking"
Epistaxis (Nosebleed),"Heavy nasal bleeding, difficulty stopping",Prolonged bleeding from one or both nostrils,"Fatigue, facial pressure",Moderate,Blood clotting disorders
Hyperacusis,"Sound sensitivity, ear discomfort",Extreme sensitivity to normal sounds,"Ear pain, anxiety",Moderate,"Head trauma, migraines"
Hyperacusis,"Tinnitus, loud noise discomfort","Ringing in ears, pain from normal sounds","Hearing fatigue, dizziness",Severe,Inner ear damage
Laryngitis,"Loss of voice, sore throat","Unable to speak clearly, throat irritation","Dry cough, fever",Mild,Viral infections
Laryngitis,"Hoarseness, vocal strain","Strained voice, painful throat","Fatigue, throat dryness",Moderate,Overuse of voice
Chronic Sinusitis,"Facial pain, nasal congestion","Constant pressure in face, blocked nose","Cough, bad breath",Moderate,Bacterial sinus infections
Chronic Sinusitis,"Thick nasal discharge, headaches","Yellow or green nasal mucus, severe headaches","Ear pain, fatigue",Severe,Deviated septum
Chronic Sinusitis,"Postnasal drip, difficulty breathing","Mucus dripping down throat, labored breathing","Sinus pressure, ear fullness",Moderate,Untreated acute sinusitis
Cleft Lip and Palate,"Difficulty feeding, nasal regurgitation","Problems sucking/swallowing, milk coming from nose","Frequent ear infections, nasal voice",Severe,Genetic mutations
Cleft Lip and Palate,"Speech difficulties, nasal congestion","Muffled or nasal-sounding speech, blocked nose","Hearing loss, dental issues",Moderate,Environmental factors during pregnancy
Cleft Lip and Palate,"Abnormal facial development, breathing difficulties","Visible split in lip or palate, trouble breathing","Sinus infections, malnutrition",Severe,Folic acid deficiency during pregnancy
Head and Neck Cancer,"Persistent sore throat, difficulty swallowing","Ongoing throat pain, trouble eating","Ear pain, weight loss",Severe,Tobacco and alcohol use
Head and Neck Cancer,"Lump in neck, voice changes","Swollen lymph nodes, hoarse voice","Unexplained bleeding, bad breath",Severe,Human papillomavirus (HPV)
Zygomatic Fracture,"Facial swelling, cheekbone pain","Bruising around the cheek, tenderness","Vision problems, jaw misalignment",Severe,"Facial trauma, sports injuries"
Zygomatic Fracture,"Difficulty opening mouth, nosebleed","Pain while chewing, bleeding from nose","Facial numbness, swelling",Moderate,"Falls, car accidents"
Whiplash,"Neck pain, stiffness","Soreness in neck, reduced range of motion","Headache, dizziness",Moderate,"Sudden head movement (e.g., car accident)"
Whiplash,"Shoulder pain, fatigue","Pain radiating from neck to shoulders, tiredness","Blurred vision, memory issues",Severe,Rear-end collisions
Otitis Externa (Swimmer's Ear),"Ear pain, itching","Severe ear discomfort, scratching sensation","Redness, fluid drainage",Moderate,"Water exposure, bacterial infection"
Otitis Externa (Swimmer's Ear),"Hearing loss, swelling","Decreased hearing, swollen outer ear","Tinnitus, jaw pain",Mild,"Frequent swimming, ear trauma"
Pharyngitis,"Sore throat, red tonsils","Painful swallowing, inflamed throat","Fever, headache",Moderate,Bacterial (strep) or viral infection
Pharyngitis,"Hoarseness, swollen lymph nodes","Voice changes, tender neck glands","Cough, fatigue",Mild,"Cold, flu"
Chronic Rhinitis,"Runny nose, sneezing","Constant nasal discharge, frequent sneezing","Watery eyes, nasal congestion",Mild,Dust or pollen allergies
Chronic Rhinitis,"Blocked nose, postnasal drip","Difficulty breathing through nose, mucus in throat","Facial pressure, headaches",Moderate,Nasal polyps
Chronic Rhinitis,"Persistent nasal congestion, reduced smell","Long-term stuffy nose, difficulty detecting odors","Sneezing, throat irritation",Severe,"Non-allergic triggers (e.g., smoke, strong odors)"
Laryngomalacia,"Noisy breathing, difficulty feeding","High-pitched breathing sounds, feeding struggles","Stridor, choking",Severe,Congenital abnormality
Laryngomalacia,"Breathing problems, reflux symptoms","Labored breathing, acid reflux","Cyanosis, weight loss",Moderate,Weak airway muscles
Laryngopharyngeal Reflux (LPR),"Throat clearing, cough","Frequent clearing of throat, dry cough","Hoarseness, sore throat",Moderate,Acid reflux
Laryngopharyngeal Reflux (LPR),"Postnasal drip, voice changes","Mucus buildup in throat, hoarse voice","Globus sensation, difficulty swallowing",Mild,Dietary triggers
Smell and Taste Disorders,"Loss of smell, taste alteration","Reduced ability to smell, changes in food flavors","Dry mouth, nasal congestion",Moderate,Post-viral syndrome
Smell and Taste Disorders,"Metallic taste, food aversion","Distorted taste, dislike of certain foods","Headaches, dizziness",Severe,Neurological conditions
Ageusia,"Loss of taste, dry mouth","Inability to taste sweet, salty, bitter, or sour flavors","Loss of appetite, metallic taste",Moderate,"Viral infections (e.g., COVID-19)"
Ageusia,"Taste distortion, numb tongue","Reduced taste perception, tongue feels numb","Burning mouth, lack of saliva",Mild,Medication side effects
Cholesteatoma,"Ear discharge, hearing loss","Persistent ear drainage, difficulty hearing","Dizziness, ear fullness",Moderate,Chronic middle ear infections
Cholesteatoma,"Ear pain, foul-smelling discharge","Severe earache, bad-smelling drainage","Tinnitus, vertigo",Severe,Eustachian tube dysfunction
Cholesteatoma,"Recurring ear infections, hearing impairment","Frequent ear infections, gradual hearing loss","Facial weakness, headaches",Moderate,Congenital malformation
Vasomotor Rhinitis,"Runny nose, nasal congestion","Persistent clear nasal discharge, blocked nose","Postnasal drip, sneezing",Moderate,Irritants like perfumes or smoke
